original_review_id,source,country,rating,review,discovery_score,rating_bonus,priority_score,categories,matched_terms
5794,Apple App Store,AU,3,Wish it would give me more range in music not just repeat the same song over and over again. Discover weekly and release radar seems to be so repetitive and starting to get boring. Even the smart shuffle just cycles the same songs,69,2,71,"discovery,repetition,playlist","boring,discover,discover weekly,over and over,release radar,repeat,repetitive,same song,same songs,shuffle,smart shuffle"
3153,Google Play,IN,5,"Spotify is the best for discovering new music. The Daily Mix, Discover Weekly, and Release Radar always put me on to new K-pop, indie, and chill tracks I end up loving.",38,0,38,"discovery,playlist,artist","daily mix,discover,discover weekly,indie,new music,release radar"
5433,Apple App Store,US,5,"Seriously if someone told me, I could only use one app for the rest of my life this would be it. Their Radio suggestions are incredible. The Discover weekly playlist that has custom curated for you. Every week is beautiful and the release radar playlist is major for finding new sauce for mix. Feels like every time I wish there were a certain feature, they read my mind, figure it out, and add it. (for example adding a song to multiple playlists at once) thank you for being the greatest and most essential app of all time. Take my money forever. Dang.",29,0,29,"discovery,playlist","discover,discover weekly,playlist,playlists,radio,release radar"
605,Google Play,IN,2,"It's gotten worse with time Podcasts- autoplay used to go through my followed list and play next un-listened to, no replays already listened to content Needs a ""remove from suggested"" option Plays the same songs over and over in most of my Spotify created playlists Would like the option to listen to a variety of genres in a Spotify made playlist I pay for a family plan but only one person can listen to audiobooks",26,3,29,"discovery,repetition,playlist","genres,over and over,playlist,playlists,same songs,variety"
765,Google Play,IN,4,"I listen to everything—from high-energy Phonk and hype bangers to chill study tracks and soulful classics. Spotify’s algorithm handles my diverse music taste perfectly. The personalized mixes and ""Recommended Stations"" always introduce me to great new music based on what I’m currently vibing with, and the UI makes it easy to jump between totally different moods. However, the amount of ads on the free tier is getting out of hand. It completely breaks the vibe when you go from a smooth, emotional.",27,1,28,"discovery,recommendation,personalization","algorithm,diverse,music taste,new music,personalized,recommended,taste"
6489,Apple App Store,CA,3,"While I’m a long-term fan and heavy user of the platform, persistent dissatisfaction has accompanied the experience on 3 main points.   Firstly the interface continues in a dated idea of how modern UI can be.  Second, the home page and the suggestions of what I might like have always offered me so much of what I have never and won’t ever listen to.  Lastly that singular option of a ridiculous voice and manner of the ai DJ.  It’s absurd and jarring.  
That said, other aspects of the algorithm are great.  Discover Weekly has given me so much over the years, so for now it remains the home of my countless playlists.",26,2,28,"discovery,recommendation,playlist","ai dj,algorithm,discover,discover weekly,playlists"
5211,Apple App Store,US,1,I added new songs list to my playlist and the shuffle keeps repeating the same old songs over and over,23,4,27,"discovery,repetition,playlist","new songs,over and over,playlist,repeating,shuffle"
510,Google Play,IN,5,"Spotify makes discovering and enjoying music effortless. The recommendations are spot-on, playlists like Discover Weekly always introduce something new, and offline downloads are perfect for travel. Podcasts add even more variety. Smooth interface, great sound quality, and it fits seamlessly into daily life. Genuinely hard to imagine music without it.",25,0,25,"discovery,recommendation,playlist","discover,discover weekly,playlists,recommendations,variety"
6517,Apple App Store,CA,4,Everything is great except the AI DJ. Its super annoying always plays the same songs instead of at least playing some other songs from the same artist. You could do much better!,24,1,25,"repetition,playlist,artist","ai dj,artist,same artist,same songs"
4645,Google Play,IN,1,It really sucks right now. My music keeps pausing on its own and I can't see what song is playing. Just too many issues with new updates Edit: works a lot better since this review however the same songs on my Playlist keeps playing all the time on shuffle. I tried clearing cache but the same thing keeps happening,21,4,25,"repetition,playlist,personalization","keeps playing,my music,playlist,same songs,shuffle"
3194,Google Play,IN,5,"Spotify is enjoyable music app with a wide variety of songs, podcasts and playing. It is easy to use and helps unders discover new artist, trending songs and personalised recommendations. You can save favourite songs and listen to music anytime.",23,0,23,"discovery,recommendation,artist","artist,discover,new artist,recommendations,variety"
3557,Google Play,IN,1,Shuffle doesnt work. it plays the same songs over and over in the same order too. even on premium. canceling my subscription,18,4,22,"repetition,playlist","over and over,same songs,shuffle"
5864,Apple App Store,AU,5,"I love that I can go from gospel and worship playlists in the morning, to lofi/ambient while I’m working, then random “unfitting” throwbacks at night without skipping a beat. Spotify just gets that my day isn’t one mood. The mixes + Discover Weekly keep feeding me new spiritual artists I’d never find otherwise, plus all my weird niche stuff too. It’s like having every version of me in one app.",20,0,20,"discovery,playlist,personalization,artist","artists,discover,discover weekly,mood,playlists"
5991,Apple App Store,AU,4,The shuffle can just give the same songs over and over again,18,1,19,"repetition,playlist","over and over,same songs,shuffle"
6225,Apple App Store,CA,4,Love the app but the shuffling feature needs to be fixed still. I feel like I always listen to the same artist in my playlists for several songs before it changes to a different artist. Just for it to do the same thing over and over again.,18,1,19,"repetition,playlist,artist","artist,over and over,playlists,same artist"
676,Google Play,IN,3,"The app won't let me go to the next song. keeps playing the same song on repeat, stays stuck on the loop button",17,2,19,repetition,"keeps playing,repeat,same song"
4564,Google Play,IN,2,"Buggy app, requires stronger internet signal than most video streaming sites despite only streaming audio, very poor interface in terms of finding new music, repeats songs back to you on song radio. Would avoid if I wasn't already so committed. edit: thank you for offering non-personalised options for playlists, step in the right direction",16,3,19,"discovery,repetition,playlist","new music,playlists,radio,repeats"
548,Google Play,IN,1,edit 2026 in a playlist of over 800 songs the player seems to get stuck in a loop of 50-60 songs it just repeats over and over... can you not sort this out?! .....song s played added to list until all song have been played. starting to hate listening to my playlists. 😮‍💨 and now they demanding a home address after year of use.....we have duo plan we have the same surname....if I'm have to enter an address I will be cancelling our plan and heading back to an MP3 player and physical media......,15,4,19,"repetition,playlist","over and over,playlist,playlists,repeats"
1837,Google Play,IN,1,too difficult to discover new music. it seems shuffle mode plays the same stuff in same order,15,4,19,"discovery,playlist","discover,new music,shuffle"
5182,Apple App Store,US,1,"Has a good variety of music. Issues are that they aren’t secure— recent trending songs such as Terranova get hacked. 

You can’t select what you want to listen to, you can’t skip ads (you get 2 each 1-2 songs), and want all your money.

Developers failed to pay artists so they started giving us unstoppable ads, limited selection of our music, forced shuffles, etc. Find better ways to pay artists and earn money. I couldn’t believe picking a rock song would bring me to K-POP that isn’t made by PSY. 

Not only they are using our money to poorly pay other artists, they are funding useless projects/updates having to do with the app, such as virtual DJs and AI. 

Wow… get better. I don’t recommend the app. Listen to music on the radio or save it as a MP3.",15,4,19,"discovery,recommendation,playlist,artist","artists,radio,recommend,variety"
1069,Google Play,IN,5,"The bestt app music ever Spotify. The absolute king of music streaming. The personalized playlists, like Discover Weekly, are spot-on, and the transition between devices is seamless. The massive library of music and podcasts keeps me entertained all day.",18,0,18,"discovery,recommendation,playlist","discover,discover weekly,personalized,playlists"
3822,Google Play,IN,5,"Spotify is one of the best music apps I’ve ever used. It is very easy to find songs, playlists, and podcasts based on my mood. The sound quality is great, and I really like the personalized recommendations. It makes listening to music much more enjoyable every day.",18,0,18,"discovery,recommendation,playlist,personalization","find songs,mood,personalized,playlists,recommendations"
3504,Google Play,IN,2,"playback constantly buffers mid-song, shuffle repeats the same songs, no option to save queue",15,3,18,"repetition,playlist","repeats,same songs,shuffle"
5788,Apple App Store,AU,1,"No matter what settings you change to shuffle your songs - the algorithm with continue to play the same songs, even in the same order.",14,4,18,"recommendation,repetition,playlist","algorithm,same songs,shuffle"
5865,Apple App Store,AU,1,"I don’t know but it was never like this but I thought Spotify was great and amazing but it’s just forcing me to have premium and I can’t turn off smart shuffle and it won’t ever play the playlist I want the songs from the playlist just sits there never played all there is, is random songs playing and it’s pissing me off

I ABSOLUTELY HATE THAT I CANT USE SPOTIFY THE SAME WAY BEFORE

Playing Apple Music forever till this problem is fixed

In my opinion smart shuffle wasn’t my favourite and today the album I wanted to listen to wasn’t being able to play because smart shuffle was in the way and I absolutely hate this problem like I felt like writing this so I am

THANKS FOR RUINING MY DAY!!!!!
I’m so happy now!!!!!!!!!!!!!! JUST WOW SPOTIFY",14,4,18,playlist,"playlist,shuffle,smart shuffle"
6250,Apple App Store,CA,5,I saw his music on smart shuffle and fell in love with it thanks to smart shuffle. Spotify also has a wide variety of music for you to listen too love it so much. (I’m not a facebook mom),17,0,17,"discovery,playlist","shuffle,smart shuffle,variety"
4586,Google Play,IN,4,"Ai DJ sucks, the algorithm only seems to go by what you tend to listen to instead of musical theory of any sort. Huge changes from Die Prinzen to Green Day, when I wanted to listen to Die Prinzen and similar German pop rock bands. Other than that I would reccomend the premium version if you listen to a lot of music, the regular algorithms seem to do quite well when you want to listen to a specific artist or genre.",16,1,17,"discovery,recommendation,playlist,artist","ai dj,algorithm,artist,genre"
4333,Google Play,IN,2,adding random songs that not even in my playlist and I didn't do any type of shuffle to make it do so I have Spotify premium already and it's not the smart shuffle it just adds random Songs when I skip,14,3,17,playlist,"playlist,shuffle,smart shuffle"
713,Google Play,IN,1,"Spotify used to be all about the USER discovering new music/artists. Now its just an algorithm that trys to tell me what i should like. Removing ""Whats New"" in favor of a playlist that again tells me what i should want to listen to is a downgrade not an upgrade. Most your ""updates"" these days are usually just to streamline everything making it all so simple minded/thoughtless it actually makes the experience of using the app worse.",13,4,17,"discovery,recommendation,playlist,artist","algorithm,artists,new music,playlist"
2114,Google Play,IN,1,I would like a feature to disable AI music! Or at lest some sort of mark on the profile that shows who is AI. It annoys the heck out of me when the discover list has AI music on there. It's disgusting! Update: to make matters worse! There is now a bad AI DJ? And my Spotify is not working at all on the phone while I am offline? It's pitch black? What's that about? Seems like Spotify wants us to boycott them! I miss Spotify from 10 years ago.,13,4,17,"discovery,playlist","ai dj,discover"
2496,Google Play,IN,1,dogshit app that will play the same 10 songs on repeat over and over despite shuffling a 12+ hour playlist over 30 times. never actually truly shuffles.,13,4,17,"repetition,playlist","over and over,playlist,repeat"
4739,Google Play,IN,1,"With over 2k songs on my playlist, Spotify will still play the same fifty songs over and over. No matter if shuffle is activated. Please fix this.",13,4,17,"repetition,playlist","over and over,playlist,shuffle"
6122,Apple App Store,AU,1,There should be a setting to exclude the AI songs from the suggestions that are made to me or placed on my discovery mode. I want to be able to find new artists without having to review if they actually exist.,13,4,17,"discovery,artist","artists,discovery,new artists"
5404,Apple App Store,US,5,Spotify is always up to date on new music even if it was released one minute ago it makes sure the song is there. Spotify creates playlists for you based of your past or more recent music genre/taste and it’s really convenient because if you don’t want to take time to create a playlist then Spotify already has one ready.,16,0,16,"discovery,playlist,personalization","genre,new music,playlist,playlists,taste"
6899,Apple App Store,SG,5,"1. Spotify is an excellent music streaming platform with a vast library of songs, podcasts, and playlists.
2. Its personalized recommendations and curated playlists make discovering new music easy and enjoyable.
3. The app offers smooth playback, offline listening, and a user-friendly interface for a great listening experience.",16,0,16,"discovery,recommendation,playlist","new music,personalized,playlists,recommendations"
2529,Google Play,IN,3,"having only smart shuffle sucks. The ads breaks are very frequent and I always get 4 in a row. The limit of having only 6 skips every hour isn't a issue for me most of the time because I love all the songs in my playlist, however I can realize why others would hate this for how restricting it is. What does bother me is having only 6 songs you can choose a day is the worst thing I have ever heard of, just increase the amount of listens or decrease the limit to every hour please I beg of you.",14,2,16,playlist,"playlist,shuffle,smart shuffle"
914,Google Play,IN,2,the shuffle makes the same Playlist with the same songs,13,3,16,"repetition,playlist","playlist,same songs,shuffle"
1656,Google Play,IN,2,despite having over 1 thousand songs on my playlist the same songs come on lots during shuffle. how is this possible?,13,3,16,"repetition,playlist","playlist,same songs,shuffle"
2190,Google Play,IN,2,The music player on my phone completely breaks whenever I listen to discover weekly. Ads pop up that block the album cover.,13,3,16,"discovery,playlist","discover,discover weekly"
2521,Google Play,IN,1,"nice app,BUT ITS WONT LET ME LISTEN TO THE SON I WANT,i hat this weird ""smart shuffle"",and the only way to get out from it is to get a premium,I HATE IT",12,4,16,playlist,"shuffle,smart shuffle"
2546,Google Play,IN,1,Get rid of smart shuffle,12,4,16,playlist,"shuffle,smart shuffle"
4698,Google Play,IN,1,"stop playing recommend songs. I can barely even listen to my own playlist Keeps playing songs that are not on my playlist and when I try to choose a song on my playlist it won't change just says get premium to play any song, I am not wasting money on premium",12,4,16,"recommendation,repetition,playlist","keeps playing,playlist,recommend"
4730,Google Play,IN,1,smart shuffle is really not it😑,12,4,16,playlist,"shuffle,smart shuffle"
6190,Apple App Store,AU,1,And repeats.  Too expensive. Disliking a song on release radar does nothing,12,4,16,"repetition,playlist","release radar,repeats"
6831,Apple App Store,SG,1,You pay for nothing. Smart shuffle is forever taking over your music with things that do not make any sense or even link to your music in any way. Sometimes I feel basic spotify is better (and the premium app icon sucks),12,4,16,playlist,"shuffle,smart shuffle"
649,Google Play,IN,5,"The music recommendations are surprisingly accurate. I always discover songs that match my taste, and the playlists are great for different moods.",15,0,15,"discovery,recommendation,playlist,personalization","discover,playlists,recommendations,taste"
665,Google Play,IN,5,"The recommendations are surprisingly accurate, and I've discovered so many new artists through the playlist.",15,0,15,"discovery,recommendation,playlist,artist","artists,new artists,playlist,recommendations"
3281,Google Play,IN,5,"Spotify is simply the best music app out there. Huge song library, perfect playlists, and the sound quality is amazing. The Discover Weekly never misses. Can’t imagine my day without it!",15,0,15,"discovery,playlist","discover,discover weekly,playlists"
5300,Apple App Store,US,5,I have had Spotify premium since 2012 and will never leave. Once the algorithm and AI understand your music taste the radio and curated daily playlists are unmatched!,15,0,15,"discovery,recommendation,playlist,personalization","algorithm,music taste,playlists,radio,taste"
6832,Apple App Store,SG,5,"Bug with shuffle & autoplay functionality: After my selected song ends, the app successfully moves on to recommended tracks. However, if I open or interact with the app while a recommendation is playing, the track abruptly cuts off and replays my original song. This makes it impossible to save the new recommended songs to my playlist. Please fix this 🙏🏻",15,0,15,"recommendation,playlist","playlist,recommendation,recommended,shuffle"
2856,Google Play,IN,4,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,14,1,15,repetition,"again and again,same song"
5268,Apple App Store,US,3,"I really enjoy the playlist, it is very easy and nice to have such a wide variety of genres and each really tailored to whatever mood I’m feeling, however, the audio quality is really lacking. Compared to my Apple Music, the clarity isn’t nearly as good, as well as the volume of the songs are lower than other platforms, which I find very strange.",13,2,15,"discovery,playlist,personalization","genres,mood,playlist,variety"
6066,Apple App Store,AU,3,"When you have a playlist for some reason, the shuffle plays the same songs before you go through the whole playlist",13,2,15,"repetition,playlist","playlist,same songs,shuffle"
4402,Google Play,IN,2,oh I hate those 3 adds what did I do to get them when I Finnish any kind of song and that smart shuffle it sucks literally deleting the good songs from queue compared to pc website Spotify this is totally eating my nerves away with all of those discomforts can't even listen normally.,12,3,15,playlist,"shuffle,smart shuffle"
2806,Google Play,IN,1,"this app sucks. the shuffle is terrible, it takes too long to load, and it can't reconnect to the Internet for at least 30 minutes after my phone restarts. I have 10k songs, why am I hearing the same songs on shuffle week over week?",11,4,15,"repetition,playlist","same songs,shuffle"
3237,Google Play,IN,1,algorithm gives uninteresting recommendations that don't fit my taste. feels like they just find whatever song is in the same language,11,4,15,"recommendation,personalization","algorithm,recommendations,taste"
4708,Google Play,IN,1,"June 2026 update: how many times do I have to hide a ""Mixed"" compilation album track from my release radar before your algorithm realizes I only want full songs? Second, must of the ""Mixed"" tracks are from compilation albums and not real new releases, in most cases the songs have been out for years. as a DJ this makes my life so difficult. Spotify just keeps disappointing, I wish I could give it negative stars!",11,4,15,"recommendation,playlist","algorithm,release radar"
6140,Apple App Store,AU,1,"Spotify without premium feels like a constant push to buy premium. Random song selections, 6 skips an hour, unable to choose songs from your playlists at times and just chooses songs from the recommendations. It feels like a constant push to give them money for a better experience. 

I don’t recommend the app if your not willing to spend money",11,4,15,"recommendation,playlist","playlists,recommend,recommendations"
2400,Google Play,IN,5,"Spotify is the perfect companion for music lovers. With millions of songs, podcasts, and personalized playlists, it creates the perfect atmosphere for every mood. The app makes discovering new music easy, enjoyable, and unforgettable. this app was my favourite app because I love music a lot. there's so many music that I love here.",14,0,14,"discovery,recommendation,playlist,personalization","mood,new music,personalized,playlists"
5702,Apple App Store,AU,5,"I absolutely adore Spotify. Whether you use Premium or you don’t pay for it, as I have experienced both, it is full of every song to ever exist, pretty much. You can favourite songs, make unlimited playlists, listen to any track you like, and even make shared playlists with your friends! If you put it on Smart Shuffle, it even recommends songs for you! I will use Spotify for forever after.",14,0,14,playlist,"playlists,shuffle,smart shuffle"
3799,Google Play,IN,4,"One problem: I have a shared playlist with a friend. It's very long, over 8 hours. Recently, some songs will just disappear from the playlist without either my friend or I touching them. I'll see songs I've added to the playlist a while ago in the recommended songs at the bottom of the playlist. I'll add it back. Its happened one or twice where the same song will disappear after being added back. We both have premium if that makes a difference.",13,1,14,"recommendation,repetition,playlist","playlist,recommended,same song"
5358,Apple App Store,US,4,"Spotify is super great and that you can listen to any song you want anytime you like. It also allows you to have fun while you’re cleaning, playing sports, or any other activity you do every day. You can also discover new songs and artist that you didn’t know about.",13,1,14,"discovery,artist","artist,discover,new songs"
6542,Apple App Store,CA,3,"I have an old phone that doesn’t update very well so that might be a factor, but my Spotify is stuck on smart shuffle and it says I need to buy premium to turn off and put it back to normal or just on normal shuffle. My iPad is different though and it says I have to pay for things like smart shuffle, and I don’t understand why it’s doing that on my phone. I’ve checked and it doesn’t say I have to update it or anything, it just doesn’t work right for me on my phone and I don’t understand why.",12,2,14,playlist,"shuffle,smart shuffle"
29,Google Play,IN,2,"Poor after the last widget update. Frequent drop outs and sometimes the widget will not load at all, and I have had to create an app shortcut underneath the widget to open Spotify. DJ repeats the same songs in the same sequence. Song selection remains good, but if my daughter didn't have an account too I'd look to use another streaming service.",11,3,14,repetition,"repeats,same songs"
5913,Apple App Store,AU,2,"Same songs just keep repeating, out of 500 songs only probably hear 200",11,3,14,repetition,"repeating,same songs"
6194,Apple App Store,AU,2,"There’s two problems with Spotify: it keeps crashing and you need premium for almost everything if your on a phone. On my iPad, I keep having to reinstall it over and over again because it when I open it, it gets stuck on the loading screen and won’t let me exit the app for 5 to 7 minutes. I’ve cleared my cache and tried various other things but nothing works. I’m not sure if it’s just that my iPad is slow, the app is not supported on my iPad, or something else. The other thing is that when you’re on phone, you need premium to listen to the selected song you want to listen to and to fast forward or rewind the song! There’s a lot of ads too but I’m fine with that, though they aren’t very relevant and the same ads keep repeating. Please do better and fix your app.",11,3,14,repetition,"over and over,repeating"
1720,Google Play,IN,1,"worst aap in the history of music listening apps, everytime it asks for taking premium and it only plays 1-2 song back to back and then 2-3 ads, my question is what is this.? I suggest nobody should download it, use other apps that give you ads free listening..",10,4,14,"recommendation,repetition","only plays,suggest"
712,Google Play,IN,5,Spotify is a leading global music streaming platform that provides instant access to over 100 million tracks personalized music discovery It serves as an all in one entertainment hub for music podcasts and audiobooks people enjoying this app The app shifts its music recommendations based on the time of day matching your morning energy or latenight relaxation needs.,13,0,13,"discovery,recommendation","discovery,personalized,recommendations"
5024,Apple App Store,US,5,"Besides the..odd..decisions inside their company, Spotify is amazing! It’s super easy to find my music and discover new music",13,0,13,"discovery,personalization","discover,my music,new music"
6590,Apple App Store,CA,5,"Great platform for music, podcasts and audiobooks. Easy to use, with plenty of opportunities to discover new music and artists.",13,0,13,"discovery,artist","artists,discover,new music"
6666,Apple App Store,CA,5,"Ive loved Spotify so much ever since I got my new phone it has been much better than listening to a dumb radio, overall I have almost no complaints except for the recommendation system, like I like listening to the living tombstone but I never asked for freaking Japanese     Music. Anyways Spotify is great and I recommend it too anyone else. Also I’ve used about 90% of my time on it watching videos",13,0,13,"recommendation,playlist","radio,recommend,recommendation"
3389,Google Play,IN,4,"too many ads, but there are a lot of songs to choose from, and you can have thousands of songs on one playlist. I do wish that when you create a new account, you can try 1-3 weeks of premium without it going to the purchase area, but other than that, it is a really good app with tons of different music styles, genres, types, artists, etc.",12,1,13,"discovery,playlist,artist","artists,different music,genres,playlist"
4179,Google Play,IN,4,smart shuffle is not working. please help,12,1,13,playlist,"shuffle,smart shuffle"
6159,Apple App Store,AU,3,More repetitive than radio,11,2,13,"repetition,playlist","radio,repetitive"
25,Google Play,IN,1,"Super glitchy recently. Won't load anything. a lot of ""curated"" playlists just end up being the same couple songs, over and over. there's no ai labels! you don't know if music was made by a real person or not. and the ceo is doing some shady scat. I'm so happy to get rid of this app!",9,4,13,"repetition,playlist","over and over,playlists"
2313,Google Play,IN,1,"very bad, I don't understand what's wrong because my music is grey and when I tap my phone lags over and over",9,4,13,"repetition,personalization","my music,over and over"
3516,Google Play,IN,1,"WORST music app ever! You think listening to music is an option? You think this free app won't choke you till you buy premium? Hell no! Also, the fact that if you choose one song and can't loop is crazy. And the automatic shuffle?? Jeez! What's next, no listening to music unless I have premium? Its so stupid. There are much better options for music. I only use Spotify to find songs, and that's it. Don't even waste your time.",9,4,13,"discovery,playlist","find songs,shuffle"
6067,Apple App Store,AU,1,"every time i make a playlist i can’t even listen to it because it adds all of its stupid songs. they should make the free one better smh. do not recommend. why are they so greedy? they do not need to put 4 ads in between each song it ruins the mood. and how come i can’t control what order i want to listen to the song? oh because you want more money. this company is so greedy that it won’t allow low-middle class to listen to music comfortably only people who are rich enough can. what is this inequality. i’m so disappointed, it’s 2026, be better.",9,4,13,"recommendation,playlist,personalization","mood,playlist,recommend"
730,Google Play,IN,5,this app is Soo good because it clearly shows how your music taste is and they have all the artist you could listen to I would recommend this app to everyone 💗,12,0,12,"discovery,recommendation,personalization,artist","artist,music taste,recommend,taste"
1107,Google Play,IN,5,"Have not explored all its' functionality. I pay the Duo Premium and add free is great. Really enjoy this app. All sorts of genres, podcasts and audio books! Lots to explore, discover and enjoy listening!",12,0,12,discovery,"discover,explore,genres"
2554,Google Play,IN,5,"I always used Spotify, furthermore in the car, the shuffle really knew my music taste",12,0,12,"discovery,playlist,personalization","music taste,my music,shuffle,taste"
6545,Apple App Store,CA,5,I love it when you get a new songs/playlist on shuffle,12,0,12,"discovery,playlist","new songs,playlist,shuffle"
